,country,Year,Child Mortality,GDP per Capita
43875,Afghanistan,2025,49.0,1330.0
43876,Angola,2025,63.7,5760.0
43877,Albania,2025,7.65,17400.0
43878,Andorra,2025,2.72,55000.0
43879,UAE,2025,6.31,81300.0
43880,Argentina,2025,8.32,21900.0
43881,Armenia,2025,10.4,19500.0
43882,Antigua and Barbuda,2025,5.49,24000.0
43883,Australia,2025,3.11,52300.0
43884,Austria,2025,2.53,56000.0
43885,Azerbaijan,2025,18.6,15700.0
43886,Burundi,2025,48.5,733.0
43887,Belgium,2025,2.85,53900.0
43888,Benin,2025,78.7,3780.0
43889,Burkina Faso,2025,59.5,2290.0
43890,Bangladesh,2025,22.5,7380.0
43891,Bulgaria,2025,5.8,29600.0
43892,Bahrain,2025,5.91,53600.0
43893,Bahamas,2025,8.88,34400.0
43894,Bosnia and Herzegovina,2025,4.75,18200.0
43895,Belarus,2025,2.78,19200.0
43896,Belize,2025,11.1,9880.0
43897,Bolivia,2025,21.7,8430.0
43898,Brazil,2025,11.6,16000.0
43899,Barbados,2025,10.6,17300.0
43900,Brunei,2025,9.75,62000.0
43901,Bhutan,2025,22.9,13300.0
43902,Botswana,2025,31.1,16400.0
43903,Central African Republic,2025,97.2,833.0
43904,Canada,2025,4.45,48200.0
43905,Switzerland,2025,3.49,72100.0
43906,Chile,2025,5.95,26700.0
43907,China,2025,6.97,20900.0
43908,Cote d'Ivoire,2025,69.7,6130.0
43909,Cameroon,2025,64.2,3930.0
43910,"Congo, Dem. Rep.",2025,77.0,1240.0
43911,"Congo, Rep.",2025,42.6,3260.0
43912,Colombia,2025,11.8,15900.0
43913,Comoros,2025,58.6,3270.0
43914,Cape Verde,2025,15.3,8560.0
43915,Costa Rica,2025,7.15,24300.0
43916,Cuba,2025,4.38,9020.0
43917,Cyprus,2025,1.92,45500.0
43918,Czech Republic,2025,2.81,41000.0
43919,Germany,2025,2.39,53900.0
43920,Djibouti,2025,46.9,5820.0
43921,Dominica,2025,31.8,12900.0
43922,Denmark,2025,3.38,61600.0
43923,Dominican Republic,2025,24.3,21300.0
43924,Algeria,2025,19.2,11800.0
43925,Ecuador,2025,11.6,11100.0
43926,Egypt,2025,17.0,13500.0
43927,Eritrea,2025,29.7,2160.0
43928,Spain,2025,2.44,41000.0
43929,Estonia,2025,2.16,37100.0
43930,Ethiopia,2025,40.7,2710.0
43931,Finland,2025,1.34,49300.0
43932,Fiji,2025,22.0,14000.0
43933,France,2025,3.4,46900.0
43934,"Micronesia, Fed. Sts.",2025,26.5,3350.0
43935,Gabon,2025,37.8,14100.0
43936,UK,2025,3.91,46600.0
43937,Georgia,2025,7.83,20400.0
43938,Ghana,2025,39.4,5700.0
